720	20747	Min: -1.686	 Mean: 0.004	 Max: 1.448	 Std Dev: 0.137
1451	42269	Min: -1.074	 Mean: 0.006	 Max: 1.000	 Std Dev: 0.120
2189	64595	Min: -0.971	 Mean: 0.007	 Max: 1.000	 Std Dev: 0.120
2954	87755	Min: -0.932	 Mean: 0.008	 Max: 1.000	 Std Dev: 0.118
3736	111780	Min: -0.861	 Mean: 0.008	 Max: 1.000	 Std Dev: 0.116
4579	136702	Min: -0.833	 Mean: 0.009	 Max: 1.000	 Std Dev: 0.115
5452	162554	Min: -0.806	 Mean: 0.009	 Max: 1.000	 Std Dev: 0.114
6349	189372	Min: -0.748	 Mean: 0.010	 Max: 1.000	 Std Dev: 0.112
7273	217191	Min: -0.716	 Mean: 0.010	 Max: 1.000	 Std Dev: 0.106
8260	246049	Min: -0.677	 Mean: 0.011	 Max: 1.000	 Std Dev: 0.104
9282	275985	Min: -0.632	 Mean: 0.012	 Max: 1.000	 Std Dev: 0.101
10348	307039	Min: -0.608	 Mean: 0.012	 Max: 1.000	 Std Dev: 0.100
11492	339253	Min: -0.578	 Mean: 0.013	 Max: 1.000	 Std Dev: 0.098
12642	372670	Min: -0.555	 Mean: 0.013	 Max: 1.000	 Std Dev: 0.097
13857	407335	Min: -0.529	 Mean: 0.014	 Max: 1.000	 Std Dev: 0.097
15090	443294	Min: -0.533	 Mean: 0.014	 Max: 1.000	 Std Dev: 0.097
16413	480596	Min: -0.482	 Mean: 0.014	 Max: 1.000	 Std Dev: 0.094
17789	519291	Min: -0.465	 Mean: 0.016	 Max: 1.000	 Std Dev: 0.095
19312	559431	Min: -0.441	 Mean: 0.015	 Max: 1.000	 Std Dev: 0.093
21001	601070	Min: -0.465	 Mean: 0.015	 Max: 1.000	 Std Dev: 0.094
22742	644264	Min: -0.450	 Mean: 0.015	 Max: 1.000	 Std Dev: 0.092
24436	689071	Min: -0.454	 Mean: 0.016	 Max: 1.000	 Std Dev: 0.093
26161	735551	Min: -0.413	 Mean: 0.016	 Max: 1.000	 Std Dev: 0.092
28171	783767	Min: -0.440	 Mean: 0.016	 Max: 1.000	 Std Dev: 0.089
30126	833784	Min: -0.409	 Mean: 0.016	 Max: 1.000	 Std Dev: 0.089
32198	885669	Min: -0.407	 Mean: 0.017	 Max: 1.000	 Std Dev: 0.090
34427	939491	Min: -0.407	 Mean: 0.015	 Max: 1.000	 Std Dev: 0.090
36616	995323	Min: -0.410	 Mean: 0.015	 Max: 1.000	 Std Dev: 0.091
39036	1053240	Min: -0.374	 Mean: 0.015	 Max: 1.000	 Std Dev: 0.088
41295	1113320	Min: -0.371	 Mean: 0.015	 Max: 1.000	 Std Dev: 0.087
43618	1175644	Min: -0.380	 Mean: 0.014	 Max: 1.000	 Std Dev: 0.087
46575	1240295	Min: -0.364	 Mean: 0.013	 Max: 1.000	 Std Dev: 0.081
49700	1307360	Min: -0.372	 Mean: 0.012	 Max: 1.000	 Std Dev: 0.080
52599	1376930	Min: -0.347	 Mean: 0.014	 Max: 1.000	 Std Dev: 0.082
55663	1449098	Min: -0.344	 Mean: 0.015	 Max: 1.000	 Std Dev: 0.083
58527	1523961	Min: -0.352	 Mean: 0.018	 Max: 1.000	 Std Dev: 0.089
61838	1601620	Min: -0.341	 Mean: 0.016	 Max: 1.000	 Std Dev: 0.084
64913	1682179	Min: -0.340	 Mean: 0.016	 Max: 1.000	 Std Dev: 0.085
