1	23	Reward: 2.0	 Reward_mean: 2.0 	 Epsilon: 1.0 
2	41	Reward: 1.0	 Reward_mean: 1.5 	 Epsilon: 1.0 
3	61	Reward: 2.0	 Reward_mean: 1.7 	 Epsilon: 1.0 
4	78	Reward: 0.0	 Reward_mean: 1.2 	 Epsilon: 1.0 
5	108	Reward: 7.0	 Reward_mean: 2.4 	 Epsilon: 1.0 
6	123	Reward: 0.0	 Reward_mean: 2.0 	 Epsilon: 1.0 
7	175	Reward: 9.0	 Reward_mean: 3.0 	 Epsilon: 1.0 
8	195	Reward: 1.0	 Reward_mean: 2.8 	 Epsilon: 1.0 
9	211	Reward: 1.0	 Reward_mean: 2.6 	 Epsilon: 1.0 
10	237	Reward: 5.0	 Reward_mean: 2.8 	 Epsilon: 1.0 
11	260	Reward: 2.0	 Reward_mean: 2.7 	 Epsilon: 1.0 
12	297	Reward: 8.0	 Reward_mean: 3.2 	 Epsilon: 1.0 
13	322	Reward: 4.0	 Reward_mean: 3.2 	 Epsilon: 1.0 
14	358	Reward: 7.0	 Reward_mean: 3.5 	 Epsilon: 1.0 
15	397	Reward: 10.0	 Reward_mean: 3.9 	 Epsilon: 1.0 
16	424	Reward: 4.0	 Reward_mean: 3.9 	 Epsilon: 1.0 
17	454	Reward: 7.0	 Reward_mean: 4.1 	 Epsilon: 1.0 
18	506	Reward: 11.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
19	535	Reward: 4.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
20	560	Reward: 4.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
21	579	Reward: 4.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
22	600	Reward: 2.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
23	630	Reward: 5.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
24	650	Reward: 3.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
25	677	Reward: 6.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
26	700	Reward: 4.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
27	746	Reward: 10.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
28	767	Reward: 4.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
29	792	Reward: 6.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
30	813	Reward: 2.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
31	845	Reward: 9.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
32	868	Reward: 2.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
33	885	Reward: 2.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
34	902	Reward: 2.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
35	916	Reward: 1.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
36	944	Reward: 7.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
37	964	Reward: 3.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
38	980	Reward: 1.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
39	1012	Reward: 7.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
40	1032	Reward: 3.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
41	1067	Reward: 8.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
42	1097	Reward: 5.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
43	1125	Reward: 7.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
44	1140	Reward: 0.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
45	1177	Reward: 8.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
46	1234	Reward: 12.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
47	1255	Reward: 2.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
48	1277	Reward: 3.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
49	1324	Reward: 12.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
50	1355	Reward: 4.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
51	1390	Reward: 6.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
52	1409	Reward: 2.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
53	1449	Reward: 11.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
54	1476	Reward: 6.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
55	1498	Reward: 3.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
56	1520	Reward: 3.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
57	1561	Reward: 10.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
58	1582	Reward: 2.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
59	1600	Reward: 1.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
60	1641	Reward: 12.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
61	1669	Reward: 5.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
62	1686	Reward: 0.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
63	1741	Reward: 10.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
